"Date","Price","Open","High","Low","Change %"
"May 24, 2019","14,392.5","14,442.5","14,472.5","14,392.5","-0.47%"
"May 23, 2019","14,460.0","14,510.0","14,525.0","14,455.0","-0.45%"
"May 22, 2019","14,525.0","14,470.0","14,530.0","14,470.0","0.31%"
"May 21, 2019","14,480.0","14,455.0","14,480.0","14,455.0","0.17%"
"May 20, 2019","14,455.0","14,450.0","14,460.0","14,450.0","0.03%"
"May 17, 2019","14,450.0","14,460.0","14,475.0","14,445.0","0.00%"
"May 16, 2019","14,450.0","14,455.0","14,475.0","14,440.0","-0.07%"
"May 15, 2019","14,460.0","14,445.0","14,465.0","14,440.0","0.21%"
"May 14, 2019","14,430.0","14,420.0","14,460.0","14,420.0","0.10%"
"May 13, 2019","14,415.0","14,335.0","14,442.0","14,335.0","0.63%"
"May 10, 2019","14,325.0","14,325.0","14,370.0","14,325.0","-0.17%"
"May 09, 2019","14,350.0","14,300.0","14,375.0","14,300.0","0.38%"
"May 08, 2019","14,295.0","14,290.0","14,315.0","14,290.0","0.11%"
"May 07, 2019","14,280.0","14,290.0","14,320.0","14,265.0","-0.09%"
"May 06, 2019","14,292.5","14,272.5","14,332.5","14,272.5","0.26%"
"May 03, 2019","14,255.0","14,255.0","14,287.0","14,255.0","0.04%"
"May 02, 2019","14,250.0","14,205.0","14,270.0","14,205.0","0.00%"
"May 01, 2019","14,250.0","14,250.0","14,250.0","14,250.0","0.00%"
"Apr 30, 2019","14,250.0","14,195.0","14,265.0","14,195.0","0.35%"
"Apr 29, 2019","14,200.0","14,190.0","14,217.0","14,180.0","0.09%"
"Apr 26, 2019","14,187.5","14,192.5","14,202.5","14,172.5","0.02%"
"Apr 25, 2019","14,185.0","14,095.0","14,190.0","14,095.0","0.64%"
"Apr 24, 2019","14,095.0","14,090.0","14,130.0","14,090.0","0.14%"
"Apr 23, 2019","14,075.0","14,065.0","14,090.0","14,065.0","0.00%"
"Apr 22, 2019","14,075.0","14,045.0","14,097.0","14,045.0","0.23%"
"Apr 19, 2019","14,042.5","14,042.5","14,042.5","14,042.5","0.00%"
"Apr 18, 2019","14,042.5","14,002.5","14,047.5","13,992.5","-0.30%"
"Apr 17, 2019","14,085.0","14,085.0","14,085.0","14,085.0","0.00%"
"Apr 16, 2019","14,085.0","14,060.0","14,085.0","14,060.0","0.18%"
"Apr 15, 2019","14,060.0","14,085.0","14,085.0","14,060.0","-0.23%"
"Apr 12, 2019","14,092.5","14,142.5","14,152.5","14,092.5","-0.30%"
"Apr 11, 2019","14,135.0","14,150.0","14,165.0","14,135.0","-0.11%"
"Apr 10, 2019","14,150.0","14,145.0","14,170.0","14,145.0","0.12%"
"Apr 09, 2019","14,133.0","14,148.0","14,153.0","14,129.0","-0.21%"
"Apr 08, 2019","14,163.0","14,133.0","14,173.0","14,133.0","0.27%"
"Apr 05, 2019","14,125.0","14,180.0","14,180.0","14,125.0","-0.39%"
"Apr 04, 2019","14,180.0","14,190.0","14,195.0","14,175.0","-0.28%"
"Apr 03, 2019","14,220.0","14,220.0","14,220.0","14,220.0","0.00%"
"Apr 02, 2019","14,220.0","14,220.0","14,245.0","14,219.0","-0.04%"
"Apr 01, 2019","14,225.0","14,225.0","14,246.0","14,220.0","-0.11%"
"Mar 29, 2019","14,240.0","14,245.0","14,250.0","14,220.0","-0.01%"
"Mar 28, 2019","14,242.0","14,220.0","14,260.0","14,215.0","0.33%"
"Mar 27, 2019","14,195.0","14,175.0","14,225.0","14,175.0","0.18%"
"Mar 26, 2019","14,170.0","14,195.0","14,195.0","14,155.0","-0.07%"
"Mar 25, 2019","14,180.0","14,195.0","14,230.0","14,179.0","0.11%"
"Mar 22, 2019","14,165.0","14,135.0","14,170.0","14,135.0","0.18%"
"Mar 21, 2019","14,140.0","14,105.0","14,145.0","14,084.0","-0.32%"
"Mar 20, 2019","14,185.0","14,215.0","14,235.0","14,180.0","-0.32%"
"Mar 19, 2019","14,230.0","14,215.0","14,240.0","14,215.0","-0.05%"
"Mar 18, 2019","14,237.5","14,232.5","14,247.5","14,212.5","-0.15%"
"Mar 15, 2019","14,259.0","14,284.0","14,314.0","14,259.0","-0.06%"
"Mar 14, 2019","14,267.0","14,235.0","14,284.0","14,235.0","0.01%"
"Mar 13, 2019","14,265.0","14,245.0","14,286.0","14,245.0","0.00%"
"Mar 12, 2019","14,265.0","14,245.0","14,280.0","14,235.0","-0.17%"
"Mar 11, 2019","14,290.0","14,310.0","14,338.0","14,275.0","-0.14%"
"Mar 08, 2019","14,310.0","14,200.0","14,340.0","14,200.0","1.20%"
"Mar 07, 2019","14,140.0","14,140.0","14,140.0","14,140.0","0.00%"
"Mar 06, 2019","14,140.0","14,125.0","14,155.0","14,120.0","0.14%"
"Mar 05, 2019","14,120.0","14,125.0","14,155.0","14,120.0","-0.07%"
"Mar 04, 2019","14,130.0","14,120.0","14,155.0","14,115.0","0.11%"
"Mar 01, 2019","14,115.0","14,102.0","14,135.0","14,102.0","0.36%"
"Feb 28, 2019","14,065.0","14,030.0","14,083.0","14,030.0","0.25%"
"Feb 27, 2019","14,030.0","13,985.0","14,045.0","13,980.0","0.28%"
"Feb 26, 2019","13,991.0","13,963.0","14,003.0","13,963.0","-0.19%"
"Feb 25, 2019","14,017.5","13,987.5","14,022.5","13,987.5","-0.28%"
"Feb 22, 2019","14,057.5","14,067.5","14,082.5","14,049.5","-0.04%"
"Feb 21, 2019","14,063.0","14,040.0","14,075.0","14,040.0","0.16%"
"Feb 20, 2019","14,040.0","14,080.0","14,080.0","14,040.0","-0.44%"
"Feb 19, 2019","14,102.0","14,105.0","14,130.0","14,102.0","-0.03%"
"Feb 18, 2019","14,106.5","14,101.5","14,116.5","14,076.5","-0.25%"
"Feb 15, 2019","14,142.5","14,092.5","14,157.5","14,092.5","0.37%"
"Feb 14, 2019","14,090.0","14,065.0","14,100.0","14,065.0","0.23%"
"Feb 13, 2019","14,057.5","14,027.5","14,057.5","14,007.5","-0.08%"
